app_name,category,screen_time_min,is_productive,screen_time_hours,age,gender,technology_usage_hours,social_media_usage_hours,gaming_hours,mental_health_status,stress_level,sleep_hours,physical_activity_hours,support_systems_access,online_support_usage,heavy_user,total_app_usage,stress_level_num,digital_wellbeing_index
Slack,Productivity,61.13,True,1.0,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,No,0,10.75,1,1.865
Instagram,Social,74.35,False,1.2,59,Male,11.09,6.96,4.17,Poor,Medium,7.1,1.29,Yes,No,0,22.22,2,0.04666666666666656
Notion,Productivity,112.84,True,1.9,27,Other,4.77,7.2,3.25,Fair,Medium,6.57,5.77,No,No,0,15.219999999999999,2,-0.20999999999999996
WhatsApp,Social,61.69,False,1.0,47,Male,2.41,4.09,4.39,Poor,Medium,6.21,0.33,Yes,No,0,10.89,2,0.7066666666666667
Google Docs,Productivity,106.11,True,1.8,57,Other,3.84,1.28,1.78,Good,High,5.39,4.45,Yes,No,0,6.9,3,1.0274999999999999
Google Docs,Productivity,90.26,True,1.5,48,Female,2.88,5.71,2.52,Fair,Medium,8.36,2.74,No,No,0,11.11,2,0.8833333333333332
Snapchat,Social,108.19,False,1.8,41,Male,1.68,6.02,0.39,Fair,High,5.08,6.39,Yes,No,0,8.09,3,-0.23499999999999988
Gmail,Utilities,60.27,False,1.0,49,Other,1.74,6.1,4.81,Good,Medium,4.06,2.55,No,Yes,0,12.649999999999999,2,-0.68
YouTube,Entertainment,71.7,False,1.2,38,Female,3.06,0.82,2.76,Excellent,Low,4.41,8.6,No,Yes,0,6.64,1,1.7950000000000002
Twitter,Social,86.34,False,1.4,65,Other,7.58,7.92,1.62,Fair,Low,5.2,7.24,No,No,0,17.12,1,-1.3599999999999999
Netflix,Entertainment,176.98,False,2.9,41,Male,4.68,5.26,0.84,Excellent,Medium,4.84,2.33,No,No,1,10.78,2,-0.13999999999999999
Slack,Productivity,63.85,True,1.1,39,Female,8.21,3.61,2.14,Good,Medium,7.9,6.11,No,Yes,0,13.96,2,1.4300000000000004
Google Maps,Utilities,89.55,False,1.5,45,Female,8.33,4.66,1.79,Fair,Low,4.6,2.02,No,Yes,0,14.780000000000001,1,-0.03000000000000025
TikTok,Entertainment,97.36,False,1.6,48,Male,4.96,2.69,1.34,Fair,High,8.46,0.55,Yes,Yes,0,8.99,3,1.4425000000000003
Instagram,Social,209.48,False,3.5,27,Other,7.17,3.93,3.24,Good,Medium,7.75,3.15,Yes,No,1,14.34,2,1.2733333333333332
Camera,Utilities,78.18,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
Google Maps,Utilities,76.06,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
TikTok,Entertainment,77.49,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
Facebook,Social,76.55,False,1.3,19,Other,4.55,1.6,0.77,Good,High,6.82,5.39,Yes,No,0,6.92,3,1.3050000000000002
Weather,Utilities,113.89,False,1.9,33,Other,7.3,7.59,1.86,Excellent,Medium,8.65,1.48,No,No,0,16.75,2,0.3533333333333335
Facebook,Social,76.55,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
YouTube,Entertainment,71.7,False,1.2,50,Male,1.11,6.67,3.68,Good,Low,4.61,8.16,No,Yes,0,11.46,1,-1.0299999999999998
Slack,Productivity,115.19,True,1.9,29,Female,3.92,7.49,2.36,Excellent,High,7.25,7.0,No,Yes,0,13.77,3,-0.06000000000000005
Instagram,Social,134.82,False,2.2,38,Female,10.62,3.92,0.55,Poor,Medium,6.42,9.8,No,Yes,1,15.09,2,0.8333333333333334
Microsoft Teams,Productivity,66.59,True,1.1,55,Other,3.28,2.9,0.42,Good,High,6.41,1.33,No,No,0,6.6,3,0.8775000000000001
TikTok,Entertainment,119.72,False,2.0,48,Other,1.12,6.56,4.44,Good,Low,6.62,1.45,No,Yes,0,12.120000000000001,1,0.03000000000000025
Chrome,Utilities,57.06,False,1.0,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,No,0,10.75,1,1.865
Instagram,Social,134.14,False,2.2,18,Male,3.26,5.59,4.21,Poor,Low,5.21,1.08,No,No,1,13.059999999999999,1,-0.18999999999999995
Gmail,Utilities,59.13,False,1.0,49,Other,1.74,6.1,4.81,Good,Medium,4.06,2.55,No,Yes,0,12.649999999999999,2,-0.68
Evernote,Productivity,117.82,True,2.0,34,Female,10.47,0.94,3.84,Good,Low,7.35,5.57,No,No,0,15.25,1,3.205
Twitter,Social,63.15,False,1.1,51,Male,5.97,4.16,4.99,Poor,Low,5.43,2.61,No,No,0,15.12,1,0.6349999999999998
Weather,Utilities,120.06,False,2.0,48,Other,1.12,6.56,4.44,Good,Low,6.62,1.45,No,Yes,1,12.120000000000001,1,0.03000000000000025
Instagram,Social,76.82,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
Slack,Productivity,120.59,True,2.0,22,Female,9.81,4.95,2.31,Good,High,8.31,4.99,Yes,No,1,17.07,3,0.8400000000000001
Microsoft Teams,Productivity,58.55,True,1.0,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,No,0,10.75,1,1.865
Camera,Utilities,93.37,False,1.6,35,Other,2.88,2.89,0.38,Fair,Low,8.28,9.81,Yes,No,0,6.1499999999999995,1,2.6949999999999994
Twitch,Entertainment,127.93,False,2.1,19,Male,7.85,4.69,3.71,Good,Medium,5.55,4.55,Yes,No,1,16.25,2,0.28666666666666646
Slack,Productivity,73.02,True,1.2,59,Female,9.07,4.05,1.86,Excellent,Low,6.16,8.9,No,Yes,0,14.98,1,1.0550000000000002
Instagram,Social,77.75,False,1.3,19,Other,4.55,1.6,0.77,Good,High,6.82,5.39,Yes,No,0,6.92,3,1.3050000000000002
YouTube,Entertainment,204.18,False,3.4,28,Female,2.02,0.67,4.96,Fair,High,5.83,4.86,No,No,1,7.65,3,1.29
Twitter,Social,70.58,False,1.2,29,Other,6.22,1.81,3.1,Excellent,Low,4.59,1.38,No,Yes,0,11.129999999999999,1,1.39
Slack,Productivity,58.99,True,1.0,49,Other,1.74,6.1,4.81,Good,Medium,4.06,2.55,No,Yes,0,12.649999999999999,2,-0.68
Twitch,Entertainment,71.17,False,1.2,31,Male,9.46,7.86,3.69,Poor,High,5.85,2.87,No,No,0,21.01,3,-0.5025000000000002
Facebook,Social,78.08,False,1.3,55,Female,1.84,5.98,3.14,Good,High,4.36,4.52,Yes,No,0,10.96,3,-0.405
Instagram,Social,152.18,False,2.5,62,Male,10.05,4.69,3.58,Fair,Low,6.76,0.37,No,No,1,18.32,1,1.0349999999999997
Slack,Productivity,87.33,True,1.5,49,Other,2.93,0.48,4.54,Poor,High,8.31,6.98,Yes,No,0,7.95,3,1.9575
Slack,Productivity,58.38,True,1.0,47,Male,2.41,4.09,4.39,Poor,Medium,6.21,0.33,Yes,No,0,10.89,2,0.7066666666666667
YouTube,Entertainment,61.73,False,1.0,22,Male,8.31,0.93,1.51,Fair,Low,4.66,4.93,No,No,0,10.75,1,1.865
